link,quote,rank,rate,star,title
https://movie.douban.com/subject/1292052/,希望让人自由。,1,1030411人评价,9.6,肖申克的救赎
https://movie.douban.com/subject/1291546/,风华绝代。,2,749853人评价,9.5,霸王别姬
https://movie.douban.com/subject/1295644/,怪蜀黍和小萝莉不得不说的故事。,3,964755人评价,9.4,这个杀手不太冷
https://movie.douban.com/subject/1292720/,一部美国近现代史。,4,820988人评价,9.4,阿甘正传
https://movie.douban.com/subject/1292063/,最美的谎言。,5,479513人评价,9.5,美丽人生
https://movie.douban.com/subject/1291561/,最好的宫崎骏，最好的久石让。 ,6,768628人评价,9.3,千与千寻
https://movie.douban.com/subject/1292722/,失去的才是永恒的。 ,7,760477人评价,9.3,泰坦尼克号
https://movie.douban.com/subject/1295124/,拯救一个人，就是拯救整个世界。,8,436443人评价,9.4,辛德勒的名单
https://movie.douban.com/subject/3541415/,诺兰给了我们一场无法盗取的梦。,9,859056人评价,9.3,盗梦空间
https://movie.douban.com/subject/2131459/,小瓦力，大人生。,10,563322人评价,9.3,机器人总动员
https://movie.douban.com/subject/3793023/,英俊版憨豆，高情商版谢耳朵。,11,772699人评价,9.2,三傻大闹宝莱坞
https://movie.douban.com/subject/1292001/,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,12,661262人评价,9.2,海上钢琴师
https://movie.douban.com/subject/3011091/,永远都不能忘记你所爱的人。,13,534071人评价,9.2,忠犬八公的故事
https://movie.douban.com/subject/1291549/,天籁一般的童声，是最接近上帝的存在。 ,14,516767人评价,9.2,放牛班的春天
https://movie.douban.com/subject/1292213/,一生所爱。,15,565415人评价,9.2,大话西游之大圣娶亲
https://movie.douban.com/subject/1292064/,如果再也不能见到你，祝你早安，午安，晚安。,16,537861人评价,9.1,楚门的世界
https://movie.douban.com/subject/1291560/,人人心中都有个龙猫，童年就永远不会消失。,17,477169人评价,9.1,龙猫
https://movie.douban.com/subject/1291841/,千万不要记恨你的对手，这样会让你失去理智。,18,387771人评价,9.2,教父
https://movie.douban.com/subject/5912992/,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,19,312152人评价,9.2,熔炉
https://movie.douban.com/subject/1889243/,爱是一种力量，让我们超越时空感知它的存在。,20,565609人评价,9.2,星际穿越
https://movie.douban.com/subject/1300267/,Tomorrow is another day.,21,301153人评价,9.2,乱世佳人
https://movie.douban.com/subject/6786002/,满满温情的高雅喜剧。,22,419406人评价,9.2,触不可及
https://movie.douban.com/subject/1307914/,香港电影史上永不过时的杰作。,23,461648人评价,9.0,无间道
https://movie.douban.com/subject/1849031/,平民励志片。 ,24,611074人评价,8.9,当幸福来敲门
https://movie.douban.com/subject/1291828/,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,25,339652人评价,9.1,天堂电影院
link,quote,rank,rate,star,title
https://movie.douban.com/subject/1292052/,希望让人自由。,1,1030411人评价,9.6,肖申克的救赎
https://movie.douban.com/subject/1291546/,风华绝代。,2,749853人评价,9.5,霸王别姬
https://movie.douban.com/subject/1295644/,怪蜀黍和小萝莉不得不说的故事。,3,964755人评价,9.4,这个杀手不太冷
https://movie.douban.com/subject/1292720/,一部美国近现代史。,4,820988人评价,9.4,阿甘正传
https://movie.douban.com/subject/1292063/,最美的谎言。,5,479513人评价,9.5,美丽人生
https://movie.douban.com/subject/1291561/,最好的宫崎骏，最好的久石让。 ,6,768628人评价,9.3,千与千寻
https://movie.douban.com/subject/1292722/,失去的才是永恒的。 ,7,760477人评价,9.3,泰坦尼克号
https://movie.douban.com/subject/1295124/,拯救一个人，就是拯救整个世界。,8,436443人评价,9.4,辛德勒的名单
https://movie.douban.com/subject/3541415/,诺兰给了我们一场无法盗取的梦。,9,859056人评价,9.3,盗梦空间
https://movie.douban.com/subject/2131459/,小瓦力，大人生。,10,563322人评价,9.3,机器人总动员
https://movie.douban.com/subject/3793023/,英俊版憨豆，高情商版谢耳朵。,11,772699人评价,9.2,三傻大闹宝莱坞
https://movie.douban.com/subject/1292001/,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,12,661262人评价,9.2,海上钢琴师
https://movie.douban.com/subject/3011091/,永远都不能忘记你所爱的人。,13,534071人评价,9.2,忠犬八公的故事
https://movie.douban.com/subject/1291549/,天籁一般的童声，是最接近上帝的存在。 ,14,516767人评价,9.2,放牛班的春天
https://movie.douban.com/subject/1292213/,一生所爱。,15,565415人评价,9.2,大话西游之大圣娶亲
https://movie.douban.com/subject/1292064/,如果再也不能见到你，祝你早安，午安，晚安。,16,537861人评价,9.1,楚门的世界
https://movie.douban.com/subject/1291560/,人人心中都有个龙猫，童年就永远不会消失。,17,477169人评价,9.1,龙猫
https://movie.douban.com/subject/1291841/,千万不要记恨你的对手，这样会让你失去理智。,18,387771人评价,9.2,教父
https://movie.douban.com/subject/5912992/,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,19,312152人评价,9.2,熔炉
https://movie.douban.com/subject/1889243/,爱是一种力量，让我们超越时空感知它的存在。,20,565609人评价,9.2,星际穿越
https://movie.douban.com/subject/1300267/,Tomorrow is another day.,21,301153人评价,9.2,乱世佳人
https://movie.douban.com/subject/6786002/,满满温情的高雅喜剧。,22,419406人评价,9.2,触不可及
https://movie.douban.com/subject/1307914/,香港电影史上永不过时的杰作。,23,461648人评价,9.0,无间道
https://movie.douban.com/subject/1849031/,平民励志片。 ,24,611074人评价,8.9,当幸福来敲门
https://movie.douban.com/subject/1291828/,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,25,339690人评价,9.1,天堂电影院
